"state","zcta5","cbsa10","stab","cbsaname10","zipname","pop10","afact"
"01","35634","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Florence, AL",9711,1
"01","35640","19460","AL","Decatur, AL Metropolitan Statistical Area","Hartselle, AL",24267,1
"01","35643","19460","AL","Decatur, AL Metropolitan Statistical Area","Hillsboro, AL",2941,1
"01","35645","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Killen, AL",14060,1
"01","35646","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Leighton, AL",4635,1
"01","35647","26620","AL","Huntsville, AL Metropolitan Statistical Area","Lester, AL",1030,1
"01","35648","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Lexington, AL",3635,1
"01","35649","26620","AL","Huntsville, AL Metropolitan Statistical Area","Mooresville, AL",68,1
"01","35650","19460","AL","Decatur, AL Metropolitan Statistical Area","Moulton, AL",13971,1
"01","35651","19460","AL","Decatur, AL Metropolitan Statistical Area","Mount Hope, AL",1312,1
"01","35652","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Rogersville, AL",8085,0.987
"01","35652","26620","AL","Huntsville, AL Metropolitan Statistical Area","Rogersville, AL",105,0.013
"01","35653","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Russellville, AL",280,0.025
"01","35653","99999","AL","99999","Russellville, AL",10870,0.975
"01","35654","19460","AL","Decatur, AL Metropolitan Statistical Area","Russellville, AL",18,0.002
"01","35654","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Russellville, AL",1158,0.133
"01","35654","99999","AL","99999","Russellville, AL",7509,0.865
"01","35660","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Sheffield, AL",9042,1
"01","35661","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Muscle Shoals, AL",16617,1
"01","35670","19460","AL","Decatur, AL Metropolitan Statistical Area","Somerville, AL",7676,1
"01","35671","26620","AL","Huntsville, AL Metropolitan Statistical Area","Tanner, AL",2107,1
"01","35672","19460","AL","Decatur, AL Metropolitan Statistical Area","Town Creek, AL",6318,0.98
"01","35672","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Town Creek, AL",127,0.02
"01","35673","19460","AL","Decatur, AL Metropolitan Statistical Area","Trinity, AL",8199,1
"01","35674","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Tuscumbia, AL",18475,1
"01","35677","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Waterloo, AL",1921,1
"01","35739","26620","AL","Huntsville, AL Metropolitan Statistical Area","Ardmore, AL",5146,1
"01","35740","42460","AL","Scottsboro, AL Micropolitan Statistical Area","Bridgeport, AL",3482,1
"01","35741","26620","AL","Huntsville, AL Metropolitan Statistical Area","Huntsville, AL",2933,1
"01","35744","42460","AL","Scottsboro, AL Micropolitan Statistical Area","Dutton, AL",2570,1
"01","35745","42460","AL","Scottsboro, AL Micropolitan Statistical Area","Estillfork, AL",288,1
